username,userid,profile_location,created_at,text,retweet_count,source,coordinates
The Wall Street Journal,3108351,"New York, NY",2007-04-01 06:22:13,"From @WSJopinion: Government spending and fraud are regular dance partners, but rarely as cheek to cheek as they we… https://t.co/XxXfSmPOgD",7,SocialFlow,
RJF,197478955,New York,2010-10-01 16:20:06,"@POTUS Huh, how many billions went to fraudulent unemployment claims during the pandemic?",0,Twitter Web App,
lisa shawn,367387671,New York City,2011-09-03 21:56:42,"@LizKrueger @NYSLabor @NYSDOLCommish @Brancatojr51 Thank you, Senator. He was in touch w/your office a few weeks ag… https://t.co/e3O8zNqYUJ",0,Twitter for iPhone,
Jhenna,1402320467776753667,"New York, USA",2021-06-08 17:44:08,"Wait until Q1 data comes out.
Steep decline in consumer spending at the end of Q4, but no one is talking about that… https://t.co/ZcdA13dqVT",0,Twitter for iPhone,
Jhenna,1402320467776753667,"New York, USA",2021-06-08 17:44:08,"@N27944856 @MacroAlf Wait until Q1 data comes out.
Steep decline in consumer spending at the end of Q4, but no one… https://t.co/HXFCt4d1Ci",0,Twitter for iPhone,
BILL SIGNORILE,411259786,"New York, NY",2011-11-13 05:53:36,@lisaabramowicz1 In the new Gig Economy  there are so many that  worked and do not Qualify  to even apply for unemp… https://t.co/wBRHXIA2ld,0,Twitter Web App,
bog corpse,1154760113099550721,NYC,2019-07-26 14:27:20,"so much missing info here, this is just how many people are *receiving unemployment benefits*. has eligibility chan… https://t.co/ilyXPPt9ml",1,Twitter Web App,
WJCNY #FundExcludedWorkers,829798719981752321,"New York, USA",2017-02-09 21:06:46,“Unemployment Insurance offered a critical safety net for millions of New Yorkers to pay bills during the pandemic… https://t.co/VGqmYOQt98,0,Hootsuite Inc.,
Steve Forbes,102488708,"New York, NY",2010-01-06 21:44:34,"Pandemic Fraud Gone Wild
https://t.co/nlDuEKDp0w",1,Sprout Social,
Larry Walsh,12219832,"New York, NY",2008-01-14 15:20:29,"Declining inflation, steady GDP growth, low unemployment, and stronger-than-expected housing sales indicate the rec… https://t.co/MCpdGCsb4s",0,Twitter Web App,
Remy Lebeau,131019249,"New York, NY",2010-04-09 01:24:37,@THEEMayaPapaya I was getting more than that on unemployment,0,Twitter for iPhone,
Markets Insider,65448361,"New York, NY",2009-08-13 19:42:46,"Recession is almost a given, and Biden's team `don't know what they are talking about' as they play down the risk,… https://t.co/IZUu8bCOQh",0,Business Insider Login,
Jhenna,1402320467776753667,"New York, USA",2021-06-08 17:44:08,@RamonPV @JC_Investment @Mayhem4Markets You’re a little too stuck on data that’s already been accounted for. That’s… https://t.co/lhhD56nn1P,0,Twitter for iPhone,
Dr. B,1609693384649621505,NYC,2023-01-01 23:30:02,"@santiagomayer_ By taking only unemployment as your sole income, spending would be reduced, and that reduces demand… https://t.co/uODtzcnPnk",0,Twitter Web App,
Bassam Lahood,22840216,"Manhattan, NY",2009-03-04 21:47:28,@lisaabramowicz1 So far majority of layoffs in Tech sector. These are H1-B visa holders. Not entitled to unemployme… https://t.co/zKceNWWwt6,0,Twitter for iPad,
Kathy Jones,2840691561,New York,2014-10-21 22:22:59,"@jcroyston Initial jobless claims are a separate survey from the unemployment report &amp; timely. For jobs data, house… https://t.co/t5bFDS5RWB",0,Twitter Web App,
howardrgold,16273416,"New York, NY",2008-09-13 16:56:32,"With GDP growth at 2.9%, declining jobless claims &amp; 3.5% unemployment rate, a 50-yr low, the burden of proof is on… https://t.co/Dhk0uobnei",0,LinkedIn,
Jim Cramer,14216123,New York City,2008-03-25 15:16:57,So many companies doing so well and  the unemployment situation remains tricky... Layoffs are in enterprise software and plastic,21,TweetDeck Web App,
Gregory Daco,371810750,"New York, NY",2011-09-11 15:20:57,"Considering the December pullback in hours worked, retail sales and manufacturing activity, we believe the US econo… https://t.co/lKcVbOb8pU",1,Twitter Web App,
Paul Krugman,17006157,New York City,2008-10-27 20:17:02,"Notably, Republicans rate current economic conditions as worse than in June 1980, when unemployment was 7.6 percent… https://t.co/5odu02qrxQ",64,Twitter Web App,
FXDD,17766107,"Manhattan, NY",2008-11-30 23:54:28,#US advanced #GDP 2.9% q/q vs 2.6% expected. #unemployment claims 186k vs 203k expected. #USD #indices futures slightly higher.,0,TweetDeck,
Rick Telberg,19028281,"New York, USA",2009-01-15 16:50:36,"Jobless Claims Point to Still-Tight Labor Market: New applications for unemployment benefits fell by 6,000 last wee… https://t.co/u6nNHWkgai",0,dlvr.it,
Justin,1519083825766219783,"New York, NY",2022-04-26 22:40:06,"@politicalmath Unemployment is low because people aren’t seeking jobs, therefore the gov doesn’t  count  them",0,Twitter for iPhone,
Michael Brainerd,1518952682672820225,NYC,2022-04-26 13:59:34,@POTUS Seriously? Are you comparing today to that period without referencing the effect the pandemic lockdowns and… https://t.co/0wAfLgdg6j,0,Twitter Web App,
Fast Co. Impact,280716675,"New York, NY",2011-04-11 22:21:34,Colorado is about to launch the country’s first unemployment fund for undocumented immigrants https://t.co/7Ay1s6CAUb,0,SocialFlow,
Giles Corey,776617317681795072,"New York, NY",2016-09-16 03:02:52,@adamjohnsonNYC ~25% of households make 35k or less and the unemployment rate is under 5%. It’s very intuitive that… https://t.co/cvA8TjM7sL,0,Twitter for iPhone,
creativetype • Pinar Lacroix 🤗,778326316269600770,"New York, USA",2016-09-20 20:13:49,@wizardofsoho This happened before official announcement of Great Recession in 2008. Because ppl ran out of claimin… https://t.co/jahpvOE27j,0,Twitter for iPhone,
DNBC,1427356154993291267,"Manhattan, NY",2021-08-16 19:46:53,"GDP higher than expected, Unemployment claims lower than expected. Don’t think that’ll be too inflationary given th… https://t.co/HAooUHzfqz",0,Twitter for iPhone,
Mark,1214885818344587266,"New York, USA",2020-01-08 12:25:39,@opusgonemad @la36879887_lane @RepJeffries And Pedo Pete does??????  Please tell me how Trump's policies caused ris… https://t.co/7zUCpM8uHe,0,Twitter for Android,
Andrew Giambrone,1907861946,"New York, NY",2013-09-26 13:24:06,new study by @urbaninstitute and @ImmResearchIRI finds New York’s Excluded Workers Fund for people who couldn’t get… https://t.co/Agiviki6Tm,0,Twitter for iPhone,
Mark,38970316,"New York, USA",2009-05-10 01:38:17,. @CNBC @SquawkCNBC @jimcramer just an FYI - someone receiving severance after being laid off is entitled to start… https://t.co/2Ca1b6F7Sx,0,Twitter for iPhone,
🦋Nina,236913924,NYC ,2011-01-11 17:12:41,And then you got unemployment money and got to grieve your mother in peace while getting paid and having time to lo… https://t.co/SU7aVSgUxr,0,Twitter for iPhone,
SteakAndFutures,1605328037867913222,New York,2022-12-20 22:24:39,"this is bound to be a gap and crap day. Fed needs to come in to stop this pesky growth. Lower inventories, lower un… https://t.co/5Ial2mxsqv",0,Twitter Web App,
Josh Aaronson,1493335561880444934,"New York, NY",2022-02-14 21:25:25,"2.9% real GDP growth in Q4

Strong consumer spending reported by Mastercard, which is further accelerating in Q1

[… https://t.co/gjX6Mvgicu",0,Twitter for iPhone,
Sam Ro 📈,239026022,"New York, NY",2011-01-16 16:41:35,"there's concern therell be spillover effects from higher paid, white collar layoffs into the lower paid services. b… https://t.co/lK7MakdU9t",0,TweetDeck,
Narrative Capital 🔄,1412562933947699203,NYC,2021-07-07 00:03:58,Stay tuned as Wall Street and CNBC prepares a new narrative to justify a pivot and rate cuts by June as projected s… https://t.co/TVnM3rc7lg,1,Twitter for iPhone,
Justin Bloesch,825721587995377664,"New York, NY",2017-01-29 15:05:42,"Unemployment claims at 186k today. 

Continuing claims flat at 1.675m. https://t.co/Wn5lXLdH7f",1,Twitter Web App,
Bob Elliott,1499109588674793476,"New York, NY",2022-03-02 19:49:26,Leveraging the QCEW data the BLS creates a dataset (the BED) based on linked unemployment insurance reports to get… https://t.co/OdDU8bLLcz,1,Twitter Web App,
Sam Ro 📈,239026022,"New York, NY",2011-01-16 16:41:35,I'm semi-on board with this in that the Fed's ultimate goal isn't actually tighter financial conditions. Or even hi… https://t.co/Aq1dYTpJCJ,1,TweetDeck,
Richard G. Lipstein,26788466,New York City,2009-03-26 16:40:22,"Unlike drumpf, of course, who for years spread lies about election fraud….let’s hope your next job is waiting on an… https://t.co/6oWsVXxIki",2,Twitter for iPhone,
MilSpouseFest,264470292,New York,2011-03-11 23:44:17,"Even with all the resources available, the spouse unemployment rate is four to six times the national average, and… https://t.co/QlbActWIft",0,SocialFlow,
M,994359680058232838,"New York, USA",2018-05-09 23:33:16,I strongly believe it needs to be explained how the current unemployment rate really means NOTHING and how/what bei… https://t.co/i2A1Gqvt5u,1,Twitter for iPhone,
Walker Bragman,479724576,New York,2012-01-31 18:02:49,"With GOP controlling Congress, left should push stuff like:

- Paid leave
- Indoor air quality standards for all wo… https://t.co/ymJlu4MK83",7,Twitter Web App,
Walker Bragman,479724576,New York,2012-01-31 18:02:49,The expansion of the safety net early on in the pandemic was historic. Stimulus checks and expanded unemployment as… https://t.co/bBGQjRqOGs,14,Twitter Web App,
Fast Company,2735591,"New York, NY",2007-03-28 22:39:21,Colorado is about to launch the country’s first unemployment fund for undocumented immigrants https://t.co/bh8tWQouxX,1,SocialFlow,
G.C. Mcredpilled,1433035618813157376,"New York, USA",2021-09-01 11:55:14,Only reason to increase the debt ceiling is to investigate the Democrat corruption &amp; election fraud. For all other… https://t.co/XSS4QkW7Kz,1,Twitter for iPhone,
AInvest Wire,1516030462954725380,New York,2022-04-18 12:26:49,"Spain's unemployment rate rises to 12.87% in Q4 2022
#Ainvest #Ainvest_Wire #Fed #interest #ratehiking 
View more:… https://t.co/xHV6pnreSK",0,AinvestNews,
Trading Economics,49510088,NYC,2009-06-22 02:35:25,Unemployment Rate in Norway decreased to 3.10 percent in the fourth quarter of 2022 from 3.20 percent in the third… https://t.co/oVSANt2CR8,0,Trading Economics,
Trading Economics,49510088,NYC,2009-06-22 02:35:25,Unemployment Rate in Spain increased to 12.87 percent in the fourth quarter of 2022 from 12.67 percent in the third… https://t.co/f2smVI0Jo4,0,Trading Economics,
Trading Economics,49510088,NYC,2009-06-22 02:35:25,Unemployment Rate in Norway increased to 3.40 percent in the fourth quarter of 2022 from 3.20 percent in the third… https://t.co/KFktpr3bal,0,Trading Economics,
Rudy Cecera,2369623434,New York,2014-03-03 01:24:54,M &amp; M’s is getting rid of their multicolored spokescandies. They all plan on going on unemployment except for the o… https://t.co/U6ypORakCJ,0,Twitter for iPhone,
brain doc🌺,152883802,"Jersey City, NJ",2010-06-07 03:38:24,@nycexpatmom Lowest unemployment in history tho,0,Twitter for iPhone,
Israel rivera,945747824,"New York, NY",2012-11-13 12:57:09,"@WhiteHouse The unemployment office overpaid me $7,000 and want me to pay it back, how is that my error?",0,Twitter for iPhone,
Sean Hannity,41634520,"New York, USA",2009-05-21 17:41:12,New Government report shows pandemic unemployment fraud could be as high as $60 billion https://t.co/YSU7q9nTnf,88,SocialFlow,
VideshiWithDesiHeart🇮🇳🇺🇸,31303413,"New York, ",2009-04-15 01:58:06,"@VishalDadlani Now people will stop questioning about unemployment and berozgari, this proves india is tolerant, pe… https://t.co/hDhklmevOM",0,Twitter for iPhone,
Gregg Jarrett,21536398,New York,2009-02-22 01:59:05,New Government report shows pandemic unemployment fraud could be as high as $60 billion https://t.co/H9KXcdZiBo,75,SocialFlow,
Bob Elliott,1499109588674793476,"New York, NY",2022-03-02 19:49:26,@MishGEA @menlobear @tyillc @TheBondFreak The BED has a different set of coverages using *linked* unemployment insu… https://t.co/N3T9bBZAkQ,0,Twitter Web App,
chelsea,23537720,uptown,2009-03-10 01:30:13,me on day 60 of unemployment https://t.co/FgDVXc4jfg,0,Twitter for iPhone,
Al Alekzander,1500859569832177671,"New York, USA",2022-03-07 15:43:30,@ACTBrigitte Trump increased the national debt by $2 trillion dollars. He increased the budget deficit by 39%. Unem… https://t.co/Be3fjQcm4S,0,Twitter for iPad,
Z-Man,1020080453552918530,"New York, USA",2018-07-19 22:58:27,"@POTUS Biden, then explain why The Federal Reserve wants higher unemployment and lower wages to fight your sky high… https://t.co/ENgVPFwiNp",2,Twitter for iPhone,
Meelz 💪🏾,96832075,New York,2009-12-14 20:16:22,MJF be visiting the bus stop by the unemployment line for every feud. https://t.co/x3rbZSaUQO,7,Twitter for iPhone,
Joaquin Badajoz,200773902,"Manhattan, NY",2010-10-10 06:14:21,@POTUS Because they can apply for unemployment benefits doesn’t mean the unemployment rate is low. So I would dare… https://t.co/jwWSyNALOG,0,Twitter for iPhone,
Z-Man,1020080453552918530,"New York, USA",2018-07-19 22:58:27,"@JoeBiden Biden, then explain why The Federal Reserve wants higher unemployment and lower wages to fight your sky h… https://t.co/qACLBmrObe",1,Twitter for iPhone,
Chris,2418128695,"Jersey City, NJ",2014-03-29 23:26:28,"Especially in the ""it will make huge swaths of the economy obsolete"" department.

Alright, let's see how high the u… https://t.co/HwhWfdJbRS",0,Twitter Web App,
Max Gottlich,1209144125804752899,"Manhattan, NY",2019-12-23 16:10:08,"Since 1990, a recession had already started when the three-month moving average of the unemployment rate increased… https://t.co/nKOa1wgARN",0,Twitter Web App,
Craig Geraghty,1145351707,New York,2013-02-03 14:41:47,@GOP Recent history:  economy craushes under Bush 41. Economy recovers under Clinton including a surplus. W. Bush i… https://t.co/0uG67A1RL3,0,Twitter for iPhone,
ScRuFF McGRuFF,1611621452851060736,"Manhattan, NY",2023-01-07 07:11:42,The government gonna get they unemployment Lick Back through inflation. The reason why everything Hi in the superma… https://t.co/krMYlB24An,0,Twitter for iPhone,
mick 👹,788174149,New York ,2012-08-29 00:28:36,Waving that damn flashlight… unemployment at its finest. https://t.co/teiyY3bIAM,1,Twitter for iPhone,
QUANT CAT,1321572783021871106,"New York, NY",2020-10-28 22:01:55,"@POTUS The question now is, how many people applied for food stamps &amp; welfare after their unemployment benefits ran out ?",0,Twitter for iPhone,
lisa shawn,367387671,New York City,2011-09-03 21:56:42,My son applied for unemployment in July ‘22 &amp; received a confirmation of receipt. Since then nothing. He’s reached… https://t.co/OoaIWH3xmE,0,Twitter for iPhone,
EmLynn's Crafts,841489391864434688,"New York, USA",2017-03-14 03:21:19,@Simi28_ also.....when you enter the country LEGALLY you are already not allowed to vote.....only the illegals can… https://t.co/58fSKgkovG,0,Twitter Web App,
Priam Sen,973981853110517761,"New York, NY",2018-03-14 17:59:04,"Unemployment Is Low, But So Is The Labor Force Participation Rate — What’s Going On In The U.S. Labor Market? https://t.co/fPPnPgYAqs",0,IFTTT,
VideshiWithDesiHeart🇮🇳🇺🇸,31303413,"New York, ",2009-04-15 01:58:06,@NFT007NFT @iamsrk @BeingSalmanKhan Good movies collection will shut the mouths of politicians who were upset over… https://t.co/sBiFKCz3MR,0,Twitter for iPhone,
"Dr. Victor Pena, MD, PAC, MPAS, MAC",471061360,"New York, NY",2012-01-22 13:09:03,"@cryptojourneyrs The benefits of unemployment, unlimited time to waste 😊",0,Twitter for iPhone,
WJCNY #FundExcludedWorkers,829798719981752321,"New York, USA",2017-02-09 21:06:46,"New report from @ImmResearchIRI &amp; @urbaninstitute on the successes of the NYS Excluded Worker Fund, which provided… https://t.co/HZrkWgIfao",0,Hootsuite Inc.,
FORTUNE,25053299,New York,2009-03-18 10:23:54,Rampant job cuts across the tech industry in recent months have sent foreign workers into frantic hunts for new emp… https://t.co/eGlwIYcP9q,0,SocialFlow,
Analogbear™,9477212,"New York, NY",2007-10-16 13:26:11,"@GOP If by ""works for"" the People you mean increase the deficit, stagnate salaries, broaden the wealth-gap, send jo… https://t.co/0pKacgEj1U",0,Twitter for iPhone,
VideshiWithDesiHeart🇮🇳🇺🇸,31303413,"New York, ",2009-04-15 01:58:06,"@Sassy_Hindu I am glad movie is doing good, least it’s exposing Bollywood, politicians and journalists who were all… https://t.co/dwwkvo2fwP",0,Twitter for iPhone,
John Fitzgerald Kennedy Page®,1170939664196354048,"New York, NY",2019-09-09 05:59:59,⚠️I don't know if the state of New York's unemployment insurance office will extend my unemployment I'm still tryin… https://t.co/zdWg844rfs,0,Instagram,"{'type': 'Point', 'coordinates': [-74.0064, 40.7142]}"
VideshiWithDesiHeart🇮🇳🇺🇸,31303413,"New York, ",2009-04-15 01:58:06,"@RamSNarayan @BayAreaBiker @gowthaam @iamsrk @krithikasivasw But I am thanking makers of Pathan nothing else, it he… https://t.co/RSe7BaBhrB",0,Twitter for iPhone,
JobsFirstNYC,188346011,New York City,2010-09-08 14:27:48,@MarjorieParker CEO &amp; President of @JobsFirstNYC and   @SkyHiveCEO Sean Hinton go one-on-one about how skills mappi… https://t.co/tMGcboT27x,0,Twitter Web App,
Steve Forbes,102488708,"New York, NY",2010-01-06 21:44:34,"Government Watchdog Finds $60 Billion in Pandemic Unemployment Fraud, Suggests Maybe Doing Something About It
https://t.co/KH0qgwNh6a",1,Sprout Social,
Lightning,3208477763,NYC,2015-04-26 16:44:54,@besttrousers @roydanroy What about the people that stop collecting unemployment but don't get jobs afterwards? Doe… https://t.co/WFW10C0mQ6,0,Twitter for Android,
Sid Gundapaneni🔺,1227705473337614341,"New York, USA",2020-02-12 21:26:16,@neocentrist How would stagflation exist under this framework? If NGDP expectations being excessive leads to inflat… https://t.co/uPAmGaXypP,0,Twitter Web App,
VideshiWithDesiHeart🇮🇳🇺🇸,31303413,"New York, ",2009-04-15 01:58:06,Really thankful to makers of #pathan to expose those who were crying till last month of unemployment and joblessnes… https://t.co/dnI5QPCtBm,1,Twitter for iPhone,
ambae,387376644,"New York, NY",2011-10-08 23:23:33,That’s because you forced everyone off unemployment during a pandemic sweetie https://t.co/qkzdSp8Hrq,0,Twitter for iPhone,
Jack Polakoff,4491531140,New York City,2015-12-08 01:01:40,"@robreiner @Jaxzon2008 Republicans think “small government” means reaching into wombs.
They give us tariffs, trickl… https://t.co/zZsKXkpgmU",2,Twitter Web App,
Jack Polakoff,4491531140,New York City,2015-12-08 01:01:40,"Republicans think “small government” means reaching into wombs.
They give us #Insurrection, tariffs and massive une… https://t.co/LypgoDxry7",0,Twitter Web App,
Nathan West,1496703802971467776,"Jersey City, NJ",2022-02-24 04:29:57,@lockoutdays My answer to the second one is that libertarians are the side that wants to see a trail of tears from… https://t.co/QQC0z3T92P,0,Twitter for Android,
Notbuyingit,1452358598349234186,"New York, USA",2021-10-24 19:38:06,"@JeffreyGuterman @POTUS Yeah thank god everyone’s unemployment was cut off, and Americans left holding the bag afte… https://t.co/iYW3BkzvGh",0,Twitter for iPhone,
WJCNY #FundExcludedWorkers,829798719981752321,"New York, USA",2017-02-09 21:06:46,"Jessica Maxwell from @WorkersCNY makes the case for passing the Unemployment Bridge Program in 2023: ""Now's the tim… https://t.co/4ZqCZR7Vvq",0,Hootsuite Inc.,
Eduardo Cuevas,1021596262330589184,Nueva York,2018-07-24 03:21:44,New: We followed day laborers and street vendors struggling during winter—when jobs and sales are seldom found. Her… https://t.co/cHlaWY7p8I,0,Twitter for iPhone,
SteveTrades,1350514561569480704,"New York, USA",2021-01-16 18:45:51,@POTUS Because the millions out work ran out of unemployment benefits including me.,0,Twitter for iPhone,
ѕυrι🪐,24992782,NYC,2009-03-18 00:40:54,"@Scorpiovenus30 Lost my job in Dec and unemployment is taking forever, thank you for this message because I been really stressing",0,Twitter for iPhone,
Rufus Hickok,4108298352,"East Village, NYC",2015-11-03 02:51:45,It sounds good until you read the article and realize they're saying Wall Street is growing obsessed and desperate… https://t.co/qOZhnjMehy,0,Twitter Web App,
Emily Drewry,374612092,"New York, USA",2011-09-16 16:28:25,"“A layoff isn't just a career-changing event, it can be a life-changing event.” https://t.co/eGyiXWSzYB",0,Twitter for iPhone,
